Distance_(pixels),Value
0.00000,6350.391
0.11100,6635.142
0.22200,6616.489
0.33300,6466.353
0.44400,6382.243
0.55500,6472.218
0.66600,6467.410
0.77700,6671.201
0.88800,6941.062
0.99900,7165.817
1.11000,7438.785
1.22100,7681.820
1.33200,7588.853
1.44300,7355.005
1.55400,7315.998
1.66500,7405.254
1.77600,7279.144
1.88700,7388.209
1.99800,7669.943
2.10900,7748.920
2.22000,7494.485
2.33100,7474.729
2.44200,7538.680
2.55300,7604.413
2.66400,7828.997
2.77500,7948.227
2.88600,8038.709
2.99700,7844.821
3.10800,7548.409
3.21900,7389.632
3.33000,7479.253
3.44100,7391.426
3.55200,7092.596
3.66300,6700.230
3.77400,6385.990
3.88500,6174.366
3.99600,6076.530
4.10700,6068.749
4.21800,6063.003
4.32900,6138.369
4.44000,6153.498
4.55100,6123.177
4.66200,6110.435
4.77300,6134.539
4.88400,6238.313
4.99500,6347.048
5.10600,6269.333
5.21700,6156.823
5.32800,6220.013
5.43900,6262.416
5.55000,6216.185
5.66100,6372.539
5.77200,6389.803
5.88300,6425.952
5.99400,6390.845
6.10500,6469.282
6.21600,6687.652
6.32700,7032.847
6.43800,7119.683
